account_no,customer_name,branch_id,branch_name,brand,model_code,vehicle_category,gross_principal_amount,down_payment,principal_loan_amount,term_years,term_months,factor_rate,total_payable,monthly_amortization,current_term,remaining_terms,term_progress_ratio,monthly_income,dti_ratio,employment_type,residential_ownership,length_of_stay_years,marital_status,dependents_count,payment_method_preference,behavioral_archetype,ci_negative_flags,has_phone_bounce,rebate_streak,late_penalty_streak,overdue_count,partial_payment_ratio,on_time_reliability,current_status,total_paid_gross,total_penalties_paid,total_paid_net,principal_paid,remaining_principal,total_arrears,early_settlement_amount,early_savings,buyout_propensity,will_default_90d,early_settlement_target
ACC-2024011,"Fernandez, Danilo",1,LALA,YAMAHA,MIO GEAR 125,Scooter,79400.0,21200.0,58200.0,3,36,1.72,100104.0,2780.67,35,1,0.972,45800.0,0.061,Private Corporate / Bank / Office Staff,Living with Parents / Family Compound,21.7,Married,1,GCash / Maya,PRIME_CONSISTENT,0,0,5,0,0,1.0,0.975,active,97323.45,0.0,97323.45,56583.4,1616.6,0.0,2780.55,0.0,LOW,0,0
ACC-2024012,"Tolentino, Angelica",1,LALA,HONDA,CT100B,Backbone/Tricycle,65000.0,7400.0,57600.0,1,12,1.26,72576.0,6048.0,10,2,0.833,60500.0,0.1,Micro-Business / Sari-Sari / Eatery Owner,Living with Parents / Family Compound,4.2,Married,2,Cash at Counter,PRIME_CONSISTENT,0,0,5,1,0,1.0,0.845,active,60480.0,200.0,60280.0,47841.27,9758.73,0.0,12296.0,0.0,LOW,0,0
ACC-2024013,"Mendoza, Aileen",2,KAPATAGAN,KAWASAK,P24KK,Backbone/Tricycle,62000.0,11300.0,50700.0,3,36,1.72,87204.0,2422.33,5,31,0.139,31700.0,0.076,Healthcare / Nurse / Medical Staff,Owned (Clean Land Title),8.4,Married,0,GCash / Maya,PRIME_CONSISTENT,0,0,5,0,0,1.0,0.966,active,12111.65,0.0,12111.65,7041.66,43658.34,0.0,55009.51,20082.83,LOW,0,0
ACC-2024014,"Macapagal, Jerome",3,TUBOD,YAMAHA,SNIPER 155,Sport Underbone,120900.0,26600.0,94300.0,2,24,1.48,139564.0,5815.17,11,13,0.458,60900.0,0.095,Healthcare / Nurse / Medical Staff,Owned (Clean Land Title),11.2,Married,1,GCash / Maya,PRIME_CONSISTENT,0,0,10,0,0,1.0,0.981,active,63966.87,0.0,63966.87,43220.86,51079.14,0.0,64359.72,11237.41,HIGH,0,1
ACC-2024015,"Retiza, Alexander",2,KAPATAGAN,HONDA,WAVE RSX,Underbone,61900.0,7200.0,54700.0,2,24,1.48,80956.0,3373.17,3,21,0.125,31400.0,0.107,Private Corporate / Bank / Office Staff,Owned (Clean Land Title),14.8,Married,2,GCash / Maya,PRIME_CONSISTENT,0,0,3,0,0,1.0,0.973,active,10119.51,0.0,10119.51,6837.51,47862.49,0.0,60306.74,10529.75,LOW,0,0
ACC-2024016,"Perez, Bernadette",3,TUBOD,SUZUKI,RAIDER 150 FI,Underbone,118400.0,21000.0,97400.0,1,12,1.26,122724.0,10227.0,4,8,0.333,46000.0,0.222,Private Corporate / Bank / Office Staff,Rented House / Apartment,3.5,Married,3,Cash at Counter,CHRONIC_OVERDUE,3,0,0,2,1,0.86,0.406,delinquent,35180.88,400.0,34780.88,27603.87,69796.13,10427.0,87943.12,0.0,LOW,0,0
ACC-2024017,"Torres, Eduardo",3,TUBOD,HONDA,TMX125 ALPHA,Backbone/Utility,57900.0,7400.0,50500.0,2,24,1.48,74740.0,3114.17,22,2,0.917,55100.0,0.057,Private Corporate / Bank / Office Staff,Owned (Clean Land Title),5.8,Single,3,Cash at Counter,PRIME_CONSISTENT,0,0,6,0,0,1.0,0.998,active,68511.74,0.0,68511.74,46291.72,4208.28,0.0,6228.25,0.0,HIGH,0,1
ACC-2024018,"Retiza, Rommel",3,TUBOD,YAMAHA,SNIPER 155,Sport Underbone,125400.0,27900.0,97500.0,3,36,1.72,167700.0,4658.33,21,15,0.583,42900.0,0.109,Private Corporate / Bank / Office Staff,Owned (Clean Land Title),11.2,Married,2,Field Agent Collector,PRIME_CONSISTENT,0,0,17,0,0,1.0,0.976,active,97824.93,0.0,97824.93,56874.96,40625.04,0.0,60125.06,9750.01,LOW,0,0
ACC-2024019,"Tolentino, Bryan",2,KAPATAGAN,SUZUKI,SMASH 115,Underbone,60900.0,8900.0,52000.0,2,24,1.48,76960.0,3206.67,11,13,0.458,63400.0,0.051,Government / Public Teacher / Uniformed,Rented House / Apartment,7.1,Married,0,GCash / Maya,ADVANCE_PREPAYER,0,0,14,0,0,1.2727272727272727,1.0,active,44893.38,0.0,44893.38,30333.36,21666.64,0.0,27299.97,4766.66,HIGH,0,1
ACC-2024020,"Navarro, Eduardo",2,KAPATAGAN,YAMAHA,MIO GEAR 125,Scooter,79400.0,15900.0,63500.0,1,12,1.26,80010.0,6667.5,10,2,0.833,47300.0,0.141,Micro-Business / Sari-Sari / Eatery Owner,Owned (Clean Land Title),8.7,Single,1,Cash at Counter,PRIME_CONSISTENT,0,0,10,0,0,1.0,0.968,active,66675.0,0.0,66675.0,52916.67,10583.33,0.0,13335.0,0.0,HIGH,0,1
ACC-2024021,"Castillo, Gemma",3,TUBOD,YAMAHA,AEROX 155,Sport Scooter,123900.0,27100.0,96800.0,2,24,1.48,143264.0,5969.33,3,21,0.125,57100.0,0.105,Micro-Business / Sari-Sari / Eatery Owner,Living with Parents / Family Compound,3.8,Married,5,Cash at Counter,PRIME_CONSISTENT,0,0,3,0,0,1.0,0.983,active,17907.99,0.0,17907.99,12099.99,84700.01,0.0,106722.01,18634.0,LOW,0,0
ACC-2024022,"Ramos, Marilou",2,KAPATAGAN,HONDA,TMX125 ALPHA,Backbone/Utility,56400.0,12300.0,44100.0,1,12,1.26,55566.0,4630.5,2,10,0.167,19500.0,0.237,Tricycle / Habal-Habal / Courier Driver,Rented House / Apartment,2.7,Married,0,Field Agent Collector,PRIME_CONSISTENT,0,0,4,0,0,0.99,0.9,active,9168.39,0.0,9168.39,7276.5,36823.5,0.0,46397.61,0.0,LOW,0,0
ACC-2024023,"Salazar, Cesar",2,KAPATAGAN,SUZUKI,BURGMAN STREET 125,Maxi-Scooter,86400.0,15300.0,71100.0,3,36,1.72,122292.0,3397.0,16,20,0.444,92600.0,0.037,OFW Remittance / Seafarer Family,Owned (Clean Land Title),13.3,Married,3,Bank Transfer,ADVANCE_PREPAYER,0,0,16,0,0,1.1875,1.0,active,64543.0,0.0,64543.0,37525.0,33575.0,0.0,49691.0,8058.0,LOW,0,0
ACC-2024024,"Torres, Ramil",1,LALA,KAWASAK,P24KK,Backbone/Tricycle,60500.0,8600.0,51900.0,2,24,1.48,76812.0,3200.5,23,1,0.958,24300.0,0.132,Tricycle / Habal-Habal / Courier Driver,Owned (Clean Land Title),4.7,Married,4,Cash at Counter,PRIME_CONSISTENT,0,0,1,1,0,0.97,0.933,active,71403.15,200.0,71203.15,48110.24,3789.76,0.0,5608.84,0.0,LOW,0,0
ACC-2024025,"Ramos, Eduardo",3,TUBOD,SUZUKI,RAIDER 150 FI,Underbone,122900.0,32200.0,90700.0,2,24,1.48,134236.0,5593.17,13,11,0.542,50700.0,0.11,Private Corporate / Bank / Office Staff,Living with Parents / Family Compound,4.0,Single,4,GCash / Maya,CHRONIC_OVERDUE,3,0,0,2,2,0.64,0.515,delinquent,46535.17,400.0,46135.17,31172.41,59527.59,11586.34,88100.83,0.0,LOW,1,0
ACC-2024026,"Ramos, Cesar",1,LALA,YAMAHA,NMAX 155,Maxi-Scooter,151900.0,24400.0,127500.0,3,36,1.72,219300.0,6091.67,5,31,0.139,38900.0,0.157,Private Corporate / Bank / Office Staff,Informal Settler / Mortgaged / Tenant,3.4,Married,4,GCash / Maya,PRIME_CONSISTENT,0,0,1,0,0,1.0,0.844,active,30458.35,0.0,30458.35,17708.34,109791.66,0.0,138337.49,50504.17,LOW,1,0
ACC-2024027,"Villanueva, Dante",1,LALA,YAMAHA,AEROX 155,Sport Scooter,122400.0,24700.0,97700.0,2,24,1.48,144596.0,6024.83,1,23,0.042,31000.0,0.194,Tricycle / Habal-Habal / Courier Driver,Rented House / Apartment,2.2,Single,4,Cash at Counter,CHRONIC_OVERDUE,0,0,0,3,2,0.88,0.45,delinquent,5301.85,600.0,4701.85,3176.93,94523.07,12449.66,119099.07,20795.07,LOW,0,0
ACC-2024028,"Perez, Dante",1,LALA,KAWASAKI,P24KK (BARAKO II),Backbone/Tricycle,71500.0,17500.0,54000.0,3,36,1.72,92880.0,2580.0,28,8,0.778,26800.0,0.096,Micro-Business / Sari-Sari / Eatery Owner,Owned (Clean Land Title),6.8,Married,2,GCash / Maya,PRIME_CONSISTENT,0,0,15,0,0,1.0,0.978,active,72240.0,0.0,72240.0,42000.0,12000.0,0.0,20640.0,0.0,LOW,0,0
ACC-2024029,"Perez, Shirley",3,TUBOD,KAWASAK,P24KK,Backbone/Tricycle,63500.0,8400.0,55100.0,2,24,1.48,81548.0,3397.83,15,9,0.625,48300.0,0.07,Micro-Business / Sari-Sari / Eatery Owner,Living with Parents / Family Compound,4.7,Married,4,Cash at Counter,PRIME_CONSISTENT,0,0,5,1,0,0.97,0.879,active,49438.43,200.0,49238.43,33269.21,21830.79,0.0,32309.57,0.0,LOW,0,0
ACC-2024030,"Espino, Gemma",2,KAPATAGAN,HONDA,WAVE RSX,Underbone,64900.0,9800.0,55100.0,2,24,1.48,81548.0,3397.83,23,1,0.958,19800.0,0.172,Agriculture / Rice / Coconut Farmer,Living with Parents / Family Compound,6.2,Married,1,Cash at Counter,SEASONAL_HARVEST,0,0,0,1,0,0.97,0.786,active,75805.59,200.0,75605.59,51084.86,4015.14,0.0,5942.41,0.0,LOW,0,0
ACC-2024031,"Garcia, Kenneth",3,TUBOD,YAMAHA,SNIPER 155,Sport Underbone,123900.0,21900.0,102000.0,2,24,1.48,150960.0,6290.0,6,18,0.25,26300.0,0.239,Private Corporate / Bank / Office Staff,Living with Parents / Family Compound,4.2,Married,2,Cash at Counter,PRIME_CONSISTENT,1,0,3,1,0,1.0,0.92,active,37740.0,200.0,37540.0,25364.86,76635.14,0.0,96560.28,16859.73,LOW,0,0
ACC-2024032,"Garcia, Christian",2,KAPATAGAN,HONDA,CLICK 160,Maxi-Scooter,138000.0,16900.0,121100.0,1,12,1.26,152586.0,12715.5,8,4,0.667,30600.0,0.416,Government / Public Teacher / Uniformed,Owned (Clean Land Title),8.5,Married,1,Cash at Counter,SEVERE_DEFAULT_HAZARD,2,1,0,3,2,0.18,0.121,delinquent,18310.32,600.0,17710.32,14055.81,107044.19,25831.0,134875.68,0.0,LOW,1,0
ACC-2024033,"Santos, Lito",1,LALA,SUZUKI,SMASH 115,Underbone,62400.0,7200.0,55200.0,2,24,1.48,81696.0,3404.0,14,10,0.583,55800.0,0.061,Micro-Business / Sari-Sari / Eatery Owner,Owned (Clean Land Title),8.2,Head of Household,1,Cash at Counter,PRIME_CONSISTENT,0,0,7,0,0,1.0,0.997,active,47656.0,0.0,47656.0,32200.0,23000.0,0.0,34040.0,0.0,LOW,0,0
ACC-2024034,"Alcantara, Gemma",2,KAPATAGAN,HONDA,PCX160,Maxi-Scooter,133500.0,19100.0,114400.0,2,24,1.48,169312.0,7054.67,8,16,0.333,27800.0,0.254,BPO / Tech / Remote Specialist,Owned (Clean Land Title),9.3,Married,3,Cash at Counter,PRIME_CONSISTENT,0,0,8,0,0,1.0,0.966,active,56437.36,0.0,56437.36,38133.35,76266.65,0.0,96095.98,16778.66,LOW,0,0
ACC-2024035,"Macapagal, Arnel",3,TUBOD,KAWASAK,P24KK,Backbone/Tricycle,62000.0,15400.0,46600.0,1,12,1.26,58716.0,4893.0,8,4,0.667,41600.0,0.118,BPO / Tech / Remote Specialist,Owned (Clean Land Title),12.1,Single,2,Cash at Counter,PRIME_CONSISTENT,2,0,4,1,0,0.98,0.823,active,38361.12,200.0,38161.12,30286.6,16313.4,0.0,20554.88,0.0,LOW,0,0
ACC-2024036,"De Leon, Noel",3,TUBOD,HONDA,CLICK 160,Maxi-Scooter,135000.0,27500.0,107500.0,3,36,1.72,184900.0,5136.11,27,9,0.75,79800.0,0.064,BPO / Tech / Remote Specialist,Living with Parents / Family Compound,5.5,Single,4,Cash at Counter,ADVANCE_PREPAYER,0,0,11,0,0,1.037037037037037,1.0,active,143811.08,0.0,143811.08,83611.09,23888.91,0.0,41088.93,0.0,LOW,0,0
ACC-2024037,"Torres, Eduardo",3,TUBOD,YAMAHA,AEROX 155,Sport Scooter,125400.0,27500.0,97900.0,2,24,1.48,144892.0,6037.17,18,6,0.75,18300.0,0.33,Tricycle / Habal-Habal / Courier Driver,Owned (Clean Land Title),3.1,Single,3,GCash / Maya,PRIME_CONSISTENT,0,0,5,1,0,0.98,0.88,active,106495.68,200.0,106295.68,71821.41,26078.59,0.0,38596.31,0.0,LOW,0,0
ACC-2024038,"Santos, Gemma",2,KAPATAGAN,SUZUKI,RAIDER 150 FI,Underbone,118400.0,31600.0,86800.0,2,24,1.48,128464.0,5352.67,4,20,0.167,27000.0,0.198,Tricycle / Habal-Habal / Courier Driver,Owned (Clean Land Title),4.2,Married,5,GCash / Maya,CHRONIC_OVERDUE,2,0,0,2,2,0.88,0.473,delinquent,18841.4,400.0,18441.4,12460.41,74339.59,11105.34,93667.88,16354.71,LOW,0,0
ACC-2024039,"Aquino, Kenneth",2,KAPATAGAN,HONDA,TMX125 ALPHA,Backbone/Utility,59400.0,11800.0,47600.0,2,24,1.48,70448.0,2935.33,10,14,0.417,24000.0,0.122,Agriculture / Rice / Coconut Farmer,Living with Parents / Family Compound,1.7,Married,3,Field Agent Collector,PRIME_CONSISTENT,0,0,2,1,0,0.98,0.861,active,28766.23,200.0,28566.23,19301.51,28298.49,0.0,35656.1,6225.67,LOW,0,0
ACC-2024040,"Macapagal, Danilo",2,KAPATAGAN,KAWASAKI,ROUSER NS125,Sport Backbone,80500.0,22300.0,58200.0,2,24,1.48,86136.0,3589.0,21,3,0.875,39000.0,0.092,Private Corporate / Bank / Office Staff,Rented House / Apartment,5.2,Married,5,Bank Transfer,PRIME_CONSISTENT,1,0,2,1,0,1.0,0.835,active,75369.0,200.0,75169.0,50789.86,7410.14,0.0,10967.01,0.0,LOW,0,0
ACC-2024041,"Torres, Grace",2,KAPATAGAN,KAWASAK,CLICK 125I,Scooter,85000.0,22400.0,62600.0,1,12,1.26,78876.0,6573.0,9,3,0.75,59700.0,0.11,BPO / Tech / Remote Specialist,Rented House / Apartment,9.6,Married,1,Cash at Counter,PRIME_CONSISTENT,0,0,9,0,0,1.0,0.992,active,59157.0,0.0,59157.0,46950.0,15650.0,0.0,19719.0,0.0,LOW,0,0
ACC-2024042,"Santos, Karen",1,LALA,HONDA,TMX125 ALPHA,Backbone/Utility,57900.0,16200.0,41700.0,2,24,1.48,61716.0,2571.5,10,14,0.417,71100.0,0.036,OFW Remittance / Seafarer Family,Owned (Clean Land Title),21.3,Head of Household,0,GCash / Maya,ADVANCE_PREPAYER,1,0,10,0,0,1.4,1.0,active,36001.0,0.0,36001.0,24325.0,17375.0,0.0,21892.5,3822.5,HIGH,0,1
ACC-2024043,"Mendoza, Angelica",2,KAPATAGAN,SUZUKI,SMASH 115,Underbone,60900.0,8000.0,52900.0,1,12,1.26,66654.0,5554.5,3,9,0.25,24100.0,0.23,Skilled Tradesman / Welder / Carpenter,Living with Parents / Family Compound,2.7,Married,3,Cash at Counter,CHRONIC_OVERDUE,2,0,0,3,2,0.81,0.514,delinquent,13497.44,600.0,12897.44,10236.06,42663.94,11509.0,53756.56,0.0,LOW,1,0
ACC-2024044,"Ramos, Kenneth",1,LALA,HONDA,TMX125 ALPHA,Backbone/Utility,59400.0,12100.0,47300.0,2,24,1.48,70004.0,2916.83,10,14,0.417,25300.0,0.115,Retail Store / Security / Service Crew,Owned (Clean Land Title),3.2,Married,2,GCash / Maya,PRIME_CONSISTENT,0,0,2,1,0,0.96,0.843,active,28001.57,200.0,27801.57,18784.84,28515.16,0.0,35929.1,6273.34,LOW,0,0
ACC-2024045,"Lim, Jomar",3,TUBOD,KAWASAK,CLICK 125I,Scooter,79000.0,12300.0,66700.0,2,24,1.48,98716.0,4113.17,9,15,0.375,54600.0,0.075,Micro-Business / Sari-Sari / Eatery Owner,Living with Parents / Family Compound,3.0,Married,2,Cash at Counter,CHRONIC_OVERDUE,3,0,0,3,2,0.82,0.485,delinquent,30355.19,600.0,29755.19,20104.86,46595.14,8626.34,58709.88,10250.93,LOW,1,0
ACC-2024046,"Reyes, Lito",1,LALA,YAMAHA,MIO GEAR 125,Scooter,82400.0,13700.0,68700.0,3,36,1.72,118164.0,3282.33,15,21,0.417,60300.0,0.054,Government / Public Teacher / Uniformed,Living with Parents / Family Compound,5.1,Single,4,GCash / Maya,PRIME_CONSISTENT,0,0,14,0,0,1.0,0.995,active,49234.95,0.0,49234.95,28624.97,40075.03,0.0,59311.04,9618.01,LOW,0,0
ACC-2024047,"Mendoza, Rodel",3,TUBOD,YAMAHA,NMAX 155,Maxi-Scooter,151900.0,32900.0,119000.0,1,12,1.26,149940.0,12495.0,10,2,0.833,47500.0,0.263,Government / Public Teacher / Uniformed,Owned (Clean Land Title),3.0,Head of Household,2,Cash at Counter,PRIME_CONSISTENT,0,0,7,0,0,1.0,0.99,active,124950.0,0.0,124950.0,99166.67,19833.33,0.0,24990.0,0.0,LOW,0,0
ACC-2024048,"Salazar, Eduardo",2,KAPATAGAN,HONDA,CT100B,Backbone/Tricycle,62000.0,8600.0,53400.0,2,24,1.48,79032.0,3293.0,15,9,0.625,74700.0,0.044,BPO / Tech / Remote Specialist,Owned (Clean Land Title),15.1,Married,1,GCash / Maya,PRIME_CONSISTENT,2,0,1,0,0,0.98,0.892,active,48407.1,0.0,48407.1,32707.5,20692.5,0.0,30624.9,0.0,LOW,1,0
ACC-2024049,"Abad, Maricel",1,LALA,KAWASAK,P24KK,Backbone/Tricycle,65000.0,8900.0,56100.0,3,36,1.72,96492.0,2680.33,35,1,0.972,55700.0,0.048,Micro-Business / Sari-Sari / Eatery Owner,Living with Parents / Family Compound,9.9,Married,1,GCash / Maya,CHRONIC_OVERDUE,3,0,0,2,1,0.6,0.597,delinquent,56286.93,400.0,55886.93,32492.4,23607.6,2880.33,40605.07,0.0,LOW,1,0
ACC-2024050,"Torres, Maria",1,LALA,HONDA,WAVE RSX,Underbone,61900.0,7600.0,54300.0,2,24,1.48,80364.0,3348.5,22,2,0.917,56700.0,0.059,Government / Public Teacher / Uniformed,Owned (Clean Land Title),5.5,Married,2,GCash / Maya,PRIME_CONSISTENT,1,0,18,0,0,1.0,0.979,active,73667.0,0.0,73667.0,49775.0,4525.0,0.0,6697.0,0.0,HIGH,0,1
ACC-2024051,"Dela Cruz, Mark",2,KAPATAGAN,YAMAHA,MIO GEAR 125,Scooter,80900.0,18100.0,62800.0,2,24,1.48,92944.0,3872.67,20,4,0.833,15600.0,0.248,Agriculture / Rice / Coconut Farmer,Owned (Clean Land Title),1.7,Single,2,Cash at Counter,PRIME_CONSISTENT,0,0,1,0,0,0.99,0.898,active,76678.87,0.0,76678.87,51810.05,10989.95,0.0,16265.13,0.0,LOW,0,0
ACC-2024052,"Tan, Gemma",2,KAPATAGAN,YAMAHA,NMAX 155,Maxi-Scooter,150400.0,26200.0,124200.0,3,36,1.72,213624.0,5934.0,6,30,0.167,31200.0,0.19,Private Corporate / Bank / Office Staff,Living with Parents / Family Compound,4.4,Single,2,Field Agent Collector,PRIME_CONSISTENT,0,0,6,0,0,1.0,0.966,active,35604.0,0.0,35604.0,20700.0,103500.0,0.0,130410.0,47610.0,LOW,0,0
ACC-2024053,"Tan, Bernadette",1,LALA,SUZUKI,RAIDER 150 FI,Underbone,116900.0,24000.0,92900.0,2,24,1.48,137492.0,5728.83,12,12,0.5,49000.0,0.117,Private Corporate / Bank / Office Staff,Owned (Clean Land Title),3.6,Single,4,Bank Transfer,PRIME_CONSISTENT,0,0,8,0,0,1.0,0.979,active,68745.96,0.0,68745.96,46449.97,46450.03,0.0,68746.04,0.0,HIGH,0,1
ACC-2024054,"Mendoza, Grace",2,KAPATAGAN,SUZUKI,RAIDER 150 FI,Underbone,119900.0,14500.0,105400.0,2,24,1.48,155992.0,6499.67,23,1,0.958,59600.0,0.109,BPO / Tech / Remote Specialist,Owned (Clean Land Title),8.3,Married,2,GCash / Maya,ADVANCE_PREPAYER,0,0,14,0,0,1.0434782608695652,1.0,active,155992.08,0.0,155992.08,105400.0,0.0,0.0,0.0,0.0,HIGH,0,1
ACC-2024055,"Magno, Jerome",2,KAPATAGAN,YAMAHA,MIO SPORTY,Scooter,70900.0,9400.0,61500.0,1,12,1.26,77490.0,6457.5,10,2,0.833,39400.0,0.164,Micro-Business / Sari-Sari / Eatery Owner,Owned (Clean Land Title),2.1,Married,1,GCash / Maya,PRIME_CONSISTENT,0,0,8,0,0,1.0,0.949,active,64575.0,0.0,64575.0,51250.0,10250.0,0.0,12915.0,0.0,MEDIUM,0,1
ACC-2024056,"Salazar, Mark",3,TUBOD,HONDA,PCX160,Maxi-Scooter,135000.0,24300.0,110700.0,2,24,1.48,163836.0,6826.5,10,14,0.417,38200.0,0.179,Micro-Business / Sari-Sari / Eatery Owner,Owned (Clean Land Title),3.0,Single,2,Cash at Counter,PRIME_CONSISTENT,0,0,5,0,0,1.0,0.953,active,68265.0,0.0,68265.0,46125.0,64575.0,0.0,81364.5,14206.5,HIGH,0,1
ACC-2024057,"Salazar, Mark",1,LALA,HONDA,BEAT PREMIUM,Scooter,72400.0,19600.0,52800.0,3,36,1.72,90816.0,2522.67,23,13,0.639,24600.0,0.103,Tricycle / Habal-Habal / Courier Driver,Owned (Clean Land Title),2.4,Married,1,Cash at Counter,PRIME_CONSISTENT,0,0,1,1,0,0.95,0.931,active,55120.34,200.0,54920.34,31930.43,20869.57,0.0,30886.96,5008.7,LOW,0,0
ACC-2024058,"Valdez, Joy",3,TUBOD,YAMAHA,MIO GEAR 125,Scooter,80900.0,12300.0,68600.0,2,24,1.48,101528.0,4230.33,13,11,0.542,53500.0,0.079,Healthcare / Nurse / Medical Staff,Owned (Clean Land Title),16.4,Married,0,Cash at Counter,PRIME_CONSISTENT,0,0,13,0,0,1.0,0.945,active,54994.29,0.0,54994.29,37158.3,31441.7,0.0,46533.72,0.0,LOW,0,0
